Time,Quadrant Number,Ball Colour,Type
28.292395538799877,2,Red,Entry
28.292395538799877,"(1509, 276, 2)",Blue,Exit
28.292395538799877,2,Blue,Entry
28.292395538799877,"(1107, 242, 2)",Yellow,Exit
28.292395538799877,2,Yellow,Entry
28.292395538799877,"(1814, 212, 2)",White,Exit
28.292395538799877,2,White,Entry
28.292395538799877,"(1011, 835, 4)",Peach,Exit
28.292395538799877,4,Peach,Entry
28.32568071002199,"(1232, 4, 2)",Red,Exit
28.32568071002199,1,Red,Entry
28.32568071002199,"(1509, 276, 2)",Blue,Exit
28.32568071002199,2,Blue,Entry
28.32568071002199,"(1107, 241, 2)",Yellow,Exit
28.32568071002199,2,Yellow,Entry
28.32568071002199,"(1847, 211, 2)",White,Exit
28.32568071002199,2,White,Entry
28.32568071002199,"(1016, 834, 4)",Peach,Exit
28.32568071002199,4,Peach,Entry
28.35896588124411,"(769, 9, 1)",Red,Exit
28.35896588124411,2,Red,Entry
28.35896588124411,"(1509, 276, 2)",Blue,Exit
28.35896588124411,2,Blue,Entry
28.35896588124411,"(1107, 241, 2)",Yellow,Exit
28.35896588124411,2,Yellow,Entry
28.35896588124411,"(1847, 203, 2)",White,Exit
28.35896588124411,2,White,Entry
28.35896588124411,"(1019, 838, 4)",Peach,Exit
28.35896588124411,4,Peach,Entry
28.39225105246623,"(1240, 4, 2)",Red,Exit
28.39225105246623,2,Red,Entry
28.39225105246623,"(1509, 276, 2)",Blue,Exit
28.39225105246623,2,Blue,Entry
28.39225105246623,"(1107, 241, 2)",Yellow,Exit
28.39225105246623,2,Yellow,Entry
28.39225105246623,"(1847, 204, 2)",White,Exit
28.39225105246623,2,White,Entry
28.39225105246623,"(1023, 838, 4)",Peach,Exit
28.39225105246623,4,Peach,Entry
28.425536223688347,"(1344, 2, 2)",Red,Exit
28.425536223688347,2,Red,Entry
28.425536223688347,"(1509, 276, 2)",Blue,Exit
28.425536223688347,2,Blue,Entry
28.425536223688347,"(1107, 241, 2)",Yellow,Exit
28.425536223688347,2,Yellow,Entry
28.425536223688347,"(1792, 25, 2)",White,Exit
28.425536223688347,2,White,Entry
28.425536223688347,"(1026, 840, 4)",Peach,Exit
28.425536223688347,4,Peach,Entry
28.458821394910462,"(1232, 4, 2)",Red,Exit
28.458821394910462,2,Red,Entry
28.458821394910462,"(1508, 276, 2)",Blue,Exit
28.458821394910462,2,Blue,Entry
28.458821394910462,"(1107, 241, 2)",Yellow,Exit
28.458821394910462,2,Yellow,Entry
28.458821394910462,"(1822, 118, 2)",White,Exit
28.458821394910462,2,White,Entry
28.458821394910462,"(1030, 843, 4)",Peach,Exit
28.458821394910462,4,Peach,Entry
28.49210656613258,"(1217, 4, 2)",Red,Exit
28.49210656613258,2,Red,Entry
28.49210656613258,"(1509, 276, 2)",Blue,Exit
28.49210656613258,2,Blue,Entry
28.49210656613258,"(1107, 241, 2)",Yellow,Exit
28.49210656613258,2,Yellow,Entry
28.49210656613258,"(1847, 207, 2)",White,Exit
28.49210656613258,2,White,Entry
28.49210656613258,"(1031, 843, 4)",Peach,Exit
28.49210656613258,4,Peach,Entry
28.5253917373547,"(1216, 4, 2)",Red,Exit
28.5253917373547,2,Red,Entry
28.5253917373547,"(1509, 276, 2)",Blue,Exit
28.5253917373547,2,Blue,Entry
28.5253917373547,"(1106, 241, 2)",Yellow,Exit
28.5253917373547,2,Yellow,Entry
28.5253917373547,"(1847, 208, 2)",White,Exit
28.5253917373547,2,White,Entry
28.5253917373547,"(1030, 845, 4)",Peach,Exit
28.5253917373547,4,Peach,Entry
28.558676908576818,"(1230, 4, 2)",Red,Exit
28.558676908576818,1,Red,Entry
28.558676908576818,"(1509, 276, 2)",Blue,Exit
28.558676908576818,2,Blue,Entry
28.558676908576818,"(1106, 241, 2)",Yellow,Exit
28.558676908576818,2,Yellow,Entry
28.558676908576818,"(1847, 209, 2)",White,Exit
28.558676908576818,2,White,Entry
28.558676908576818,"(1029, 845, 4)",Peach,Exit
28.558676908576818,4,Peach,Entry
28.591962079798932,"(765, 10, 1)",Red,Exit
28.591962079798932,1,Red,Entry
28.591962079798932,"(1509, 276, 2)",Blue,Exit
28.591962079798932,2,Blue,Entry
28.591962079798932,"(1106, 241, 2)",Yellow,Exit
28.591962079798932,2,Yellow,Entry
28.591962079798932,"(1847, 210, 2)",White,Exit
28.591962079798932,2,White,Entry
28.591962079798932,"(1029, 842, 4)",Peach,Exit
28.591962079798932,4,Peach,Entry
28.62524725102105,"(765, 10, 1)",Red,Exit
28.62524725102105,1,Red,Entry
28.62524725102105,"(1509, 276, 2)",Blue,Exit
28.62524725102105,2,Blue,Entry
28.62524725102105,"(1106, 241, 2)",Yellow,Exit
28.62524725102105,2,Yellow,Entry
28.62524725102105,"(1805, 118, 2)",White,Exit
28.62524725102105,2,White,Entry
28.62524725102105,"(1032, 840, 4)",Peach,Exit
28.62524725102105,4,Peach,Entry
28.65853242224317,"(783, 3, 1)",Red,Exit
28.65853242224317,2,Red,Entry
28.65853242224317,"(1509, 276, 2)",Blue,Exit
28.65853242224317,2,Blue,Entry
28.65853242224317,"(1106, 241, 2)",Yellow,Exit
28.65853242224317,2,Yellow,Entry
28.65853242224317,"(1847, 206, 2)",White,Exit
28.65853242224317,2,White,Entry
28.65853242224317,"(1031, 840, 4)",Peach,Exit
28.65853242224317,4,Peach,Entry
28.691817593465284,"(1320, 2, 2)",Red,Exit
28.691817593465284,2,Red,Entry
28.691817593465284,"(1509, 276, 2)",Blue,Exit
28.691817593465284,2,Blue,Entry
28.691817593465284,"(1106, 241, 2)",Yellow,Exit
28.691817593465284,2,Yellow,Entry
28.691817593465284,"(1847, 207, 2)",White,Exit
28.691817593465284,2,White,Entry
28.691817593465284,"(1032, 839, 4)",Peach,Exit
28.691817593465284,4,Peach,Entry
28.725102764687403,"(1216, 8, 2)",Red,Exit
28.725102764687403,2,Red,Entry
